Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. Un agente que está impidiendo la división bacteriana actúa como:,1. Antibiótico.,2. Bactericida.,3. Bacteriostático.,4. Desinfectante.,5. Esterilizante.,3,2005
"2. Para esterilizar un catéter de plástico, se puede emplear:",1. Un horno Pasteur.,2. Filtración.,3. Una sal de amonio cuaternario.,4. Un autoclave de óxido de etileno.,5. Un autoclave convencional.,4,2005
3. Un medio de cultivo es diferencial cuando:,1. Provoca la generación de esporas u otras formas de resistencia.,"2. Inhibe algunos microorganismos, pero no otros.",3. Favorece el crecimiento de determinados microorganismos.,4. Permite distinguir determinados microorganismos con respecto al resto.,5. Sólo permite el desarrollo de bacterias anaerobias.,4,2005
4. Durante la síntesis del peptidoglucano bacteriano:,1. Se sintetiza un hexapéptido en el citoplasma.,2. Hay reacciones de transpeptidación.,3. Se libera L-alanina.,4. Actúan las murámico-permeasas.,5. La bacteria es insensible a las cefalosporinas.,2,2005
"5. En la endospora bacteriana, el peptidoglicano está:",1. En el córtex.,2. En la cutícula.,3. En el periplasma.,4. En el exosporio.,5. Ausente.,1,2005
"6. Energéticamente, el movimiento flagelar bacteriano depende directamente de:",1. El ATP.,2. El fosfoenolpiruvato.,3. La contracción de la flagelina.,4. Una quinasa específica.,5. El gradiente electroquímico.,5,2005
7. E. coli es un microorganismo:,1. Psicrófilo.,2. Mesófilo.,3. Termófilo.,4. Xerófilo.,5. Acidófilo.,2,2005
8. Una diferencia importante entre las bacterias respiradoras y fermentadoras es que las segundas:,1. Son anaerobias estrictas.,2. Son heterótrofos.,3. Sólo usan azúcares.,4. No generan gradiente electroquímico.,5. Usan principalmente fosforilación a nivel de sustrato.,5,2005
9. Los plásmidos se caracterizan por:,1. Integrarse en el genoma de la célula hospedadora.,2. Dirigir el proceso de conjugación bacteriana.,3. Replicarse autónomamente.,4. Portar genes de resistencia a antibióticos o de virulencia.,5. Ser moléculas de DNA circular.,3,2005
10. Los transposones bacterianos:,1. Poseen replicación autónoma.,2. Son un tipo de propfago.,3. No tienen secuencias de inserción.,4. Son plásmidos especializados.,5. Pueden incluir genes de  resistencia a antibióticos.,5,2005
"11. Típicamente, las toxinas de tipo A-B producidas por bacterias patógenas:","1. Tienen dos subunidades, una de unión a las células y otra que actúa  intracelularmente.",2. Son simultáneamente hemolíticas y superantígenos.,3. Son simultáneamente hemolíticas y neurotóxicas.,4. Son glicoproteínas.,5. Son glicolípidos.,1,2005
12. La toxina de Shiga (verotoxina):,1. No la produce Escherichia coli.,2. Abre canales iónicos en la membrana de los enterocitos.,3. Bloquea la transmisión nerviosa intestinal y el peristaltismo.,4. Hidroliza la elastina provocando la pérdida del tono del músculo intestinal.,"5. Inhibe la síntesis proteica de las células endoteliales, induciendo su lisis y colitis hemorrágica.",0,2005
13. Los antibióticos aminoglucósidos se caracterizan porque:,1. Son muy hidrofóbicos y se excretan por vía hepática.,2. Se unen a la RNA polimerasa bacteriana e inhiben la transcripción.,3. Se unen a la subunidad 30S de los ribosomas y afectan a la traducción.,4. No pueden administrarse a personas con inmunosupresión.,5. Son especialmente activos frente a las infecciones por anaerobios.,3,2005
14. La isoniazida se emplea en el tratamiento de infecciones por:,1. Mycobacterium tuberculosis.,2. Staphylococcus aureus.,3. Streptococcus pyogenes.,4. Salmonella enteritidis.,5. Listeria monocytogenes.,1,2005
15. Carece de actividad antibiótica pero se usa como inhibidor de β-lactamasas:,1. Amoxicilina.,2. Imipenem.,3. Cefamandol.,4. Moxalactam.,5. Ácido clavulánico.,5,2005
16. Es intracelular obligado:,1. Mycobacterium tuberculosis.,2. Rickettsia prowazekii.,3. Helicobacter pylori.,4. Staphylococcus aureus.,5. Streptococcus pneumoniae.,2,2005
17. Entre los siguientes microorganismos el más sensible a la desecación es:,1. Neisseria meningitidis.,2. Neisseria gonorrhoeae.,3. Bordetella pertussis.,4. Yersinia pestis.,5. Streptococcus pyogenes.,2,2005
18. Las bacterias que con mayor frecuencia producen infecciones del tracto genital en el ser humano pertenecen al género:,1. Neisseria.,2. Streptococcus.,3. Enterobacter.,4. Pseudomonas.,5. Proteus.,1,2005
19. Causa  la tos ferina:,1. Bordetella.,2. Legionella.,3. Streptococcus.,4. Corynebacterium.,5. Mycobacterium.,1,2005
20. La microbiota vaginal de una mujer sana fértil está dominada por bacterias del género:,1. Peptostreptococcus.,2. Bifidobacterium.,3. Eubacterium.,4. Lactobacillus.,5. Vagococcus.,4,2005
21. La enfermedad de Lyme es causada por:,1. Borrelia.,2. Yersinia.,3. Mycobacterium.,4. Trypanosoma.,5. Neisseria.,1,2005
22. Se replica en los fagosomas de los macrófagos alveolares:,1. Streptococcus pneumoniae.,2. Corynebacterium diphtheriae.,3. Legionella pneumophila.,4. Staphylococcus aureus.,5. Streptococcus pyogenes.,3,2005
23. Se puede transmitir al hombre a través de la picadura de una pulga infectada:,1. Borrelia burgdorferi.,2. Yersinia pestis.,3. Toxoplasma gondii.,4. Bacillus anthracis.,5. Treponema pallidum.,2,2005
24. Se denominan bacterias lácticas a las que:,1. Son capaces de crecer en leche.,2. Producen mayoritariamente ácido láctico al metabolizar los carbohidratos.,3. Son capaces de utilizar lactosa como única fuente de carbono.,4. Producen homoserina-lactona.,5. Son productoras de β-galactosidasa.,2,2005
25. Un indicador ideal de  contaminación fecal debería:,1. Sobrevivir en el ambiente más tiempo que los patógenos entéricos.,2. Estar ausente de las heces de individuos sanos.,3. Multiplicarse en el ambiente para facilitar su detección.,4. Ser aerobio obligado.,5. Ser patógeno para el ser humano.,1,2005
26. La sífilis es producida por:,1. Neisseria gonorrhoeae.,2. Treponema pallidum.,3. El herpes genital.,4. Haemophilus ducreyi.,5. Trichomonas vaginalis.,2,2005
27. Se asocia habitualmente a infección urinaria:,1. Streptococcus pyogenes.,2. Lactobacillus fermentum.,3. Haemophilus influenzae.,4. Brucella abortus.,5. Escherichia coli.,5,2005
28. Puede incorporar esteroles a su membrana:,1. Mycobacterium tuberculosis.,2. Micrococcus luteus.,3. Mycoplasma pneumoniae.,4. Chlamydia trachomatis.,5. Rickettsia prowazekii.,3,2005
29. Un cuadro de vómitos y dolores abdominales iniciado unas tres horas después de una comida está probablemente asociado a ciertas cepas de:,1. Clostridium perfringens.,2. Escherichia coli enterohemorrágico.,3. Salmonella enterica.,4. Staphylococcus aureus.,5. Giardia intestinalis.,4,2005
30. El agente etiológico más comúnmente causante de la diarrea del viajero es:,1. Escherichia coli.,2. Giardia intestinalis.,3. Entamoeba histolytica.,4. Vibrio cholerae.,5. Salmonella enterica.,1,2005
