Question,Option_1,Option_2,Option_3,Option_4,RC,year
1. El potencial de reposo de las neuronas es negativo y cercano al potencial de equilibrio del ion potasio porque:,1. En reposo la membrana es más permeable al potasio que a cualquier otro ion.,2. En reposo la membrana es impermeable al potasio.,3. En la membrana neuronal no hay bomba de sodio-potasio.,4. El potasio es capaz de atravesar los lípidos de la membrana.,1,2021
2. Los axones mielínicos conducen a mayor velocidad que los amielínicos porque:,1. Tienen un menor diámetro.,2. Tienen un mayor diámetro.,3. Utilizan la propagación saltatoria.,4. Utilizan la propagación continua.,3,2021
3. Los husos musculares:,1. Funcionan como receptores de presión.,2. Son receptores de estiramiento.,3. Son receptores de tensión.,4. Se sitúan en serie con las fibras esqueléticas del músculo.,2,2021
4.  ¿Qué desencadena la habituación observada en Aplysia?:,1. La muerte neuronal.,2. El descenso en el número de receptores NMDA.,3. La desensibilización de los receptores.,4. La depresión de la transmisión sináptica.,4,2021
"5.  Durante el sueño REM, el tono muscular:",1. Está ausente en todos los músculos del cuerpo.,2. Es elevado en todos los músculos.,3. Es igual que en la vigilia.,4. Es bajo salvo en algunos músculos como por ejemplo los oculares.,4,2021
6.  ¿Cuál de las siguientes hormonas inhibe la formación de hueso?:,1. Hormonas tiroideas.,2. Cortisol.,3. Hormona de crecimiento.,4. Insulina.,2,2021
7.  La oxitocina:,1. Se sintetiza en la adenohipófisis.,2. Inhibe la contracción del útero.,3. Reduce la excreción renal de agua.,4. Estimula la eyección de leche.,4,2021
8.  ¿Cuál de estos factores estimula la secreción de hormona de crecimiento?:,1. Aumento de la glucemia.,2. Envejecimiento.,3. Ejercicio físico.,4. Obesidad.,3,2021
9.  La insulina:,1. Disminuye la formación de glucógeno.,2. Aumenta la concentración de aminoácidos en sangre.,3. Aumenta la captación de glucosa en el músculo.,4. Es hiperglucemiante.,3,2021
10. Sobre el mecanismo de acción de las hormonas tiroideas:,1. Se activa la adenilato ciclasa.,2. Se activa primero un receptor intracelular.,3. El segundo mensajero implicado es el GMPc.,4. Se produce aumento de IP3.,2,2021
"11. El volumen de sangre que bombea el corazón hacia la aorta cada minuto, se llama:",1. Volumen sistólico.,2. Volumen residual.,3. Gasto cardíaco.,4. Volumen diastólico.,3,2021
12. La incisura dícrota o escotadura dicrótica en la onda de presión aórtica es causada por:,1. Cierre de la válvula mitral.,2. Llenado rápido del ventrículo izquierdo.,3. Cierre de la válvula tricúspide.,4. Cierre de la válvula aórtica.,4,2021
13. Se puede estimar la presión arterial media al añadir la tercera parte de la presión diferencial a la presión:,1. Sistólica.,2. Diastólica.,3. De pulso.,4. Arterial media.,2,2021
"14. En la circulación, la mayor superficie transversal total se da en:",1. Las arterias de conducción.,2. Los capilares.,3. Las venas.,4. Las arteriolas y metarteriolas.,2,2021
15. El reflejo barorreceptor:,1. Es un reflejo auricular.,2. Permite corregir cambios en la presión arterial.,3. Se activa por un aumento del volumen sanguíneo.,4. Se activa al estirar los receptores ubicados en las uniones venoatriales.,2,2021
16. Inhibe la secreción de FSH:,1. La activina.,2. La liberación pulsátil de GnRH.,3. La inhibina.,4. Los bajos niveles de progesterona.,3,2021
17. Los estrógenos:,1. Estimulan el desarrollo mamario.,2. Reducen el metabolismo corporal.,3. Inhiben la síntesis proteica.,4. Inducen osteoporosis.,1,2021
18. La somatotropina coriónica humana:,1. Es antagónica a la hormona de crecimiento.,2. Regula el metabolismo de la madre y del feto.,3. Inhibe el desarrollo mamario.,4. Se denomina también gonadotropina coriónica humana (hCG).,2,2021
19. La fase de emisión del semen está regulada principalmente por:,1. Sistema nervioso simpático.,2. Sistema nervioso parasimpático.,3. Sistema nervioso somático.,4. Testosterona.,1,2021
20. La barrera hemato-testic ular está formada por:,1. Células de Leydig.,2. Células de Sertoli.,3. Células del epidídimo.,4. Capilares testiculares.,2,2021
21. Respecto a la defecación:,1. El esfínter anal interno está controlado por el nervio pudendo bajo control voluntario.,2. El esfínter anal externo está constituido por músculo liso y es de carácter involuntario.,3. La relajación o contracción del esfínter anal externo está controlado voluntariamente.,"4. Implica la contracción simultánea de los dos esfínteres anales, el interno y el externo.",3,2021
22. De la motilidad gastro intestinal podemos afirmar que:,1. El plexo submucoso o de Meissner es el responsable del control de los movimientos gastrointestinales.,2. A nivel del estómago se forman austras o saculaciones.,3. Los complejos motores migratorios ocurren cada 90-120 minutos desde estómago a íleon cuando gran parte de una comida se ha absorbido.,4. El sistema nervioso parasimpático disminuye o inhibe las contracciones del musculo liso gastrointestinal.,3,2021
23. Con respecto a la secreción salival:,1. Su producción se incrementa notablemente durante una situación de estrés.,2. La estimulación parasimpática promueve su secreción.,3. Las glándulas parótidas producen una secreción rica en moco.,4. Las glándulas sublinguales secretan una secreción acuosa (serosa) rica en amilasa salival.,2,2021
"24. En la absorción intestinal, ¿cuál de los siguientes nutrientes se mueve a través de la membrana apical por difusión facilitada con el transportador GLUT5?:",1. Glucosa.,2. Fructosa.,3. Aminoácidos.,4. Galactosa.,2,2021
25. Son vitaminas liposolubles:,1. Todas las del grupo B.,"2. Vitaminas grupo B, A y K.",3. Vitaminas grupo B y C.,"4. Vitaminas A, D, E y K.",4,2021
26. En relación con el manejo renal del sodio es FALSO que:,1. El aumento de la presión coloidosmótica en el glomérulo de la nefrona favorece la filtración de sodio.,2. La filtración glomerular de sodio es favorecida por la menor resistencia en la arteriola aferente que en la eferente.,3. El mayor porcentaje del sodio filtrado se reabsorbe en el túbulo proximal de la nefrona.,4. La aldosterona regula la concentración plasmática de sodio actuando a nivel del túbulo distal y colector.,1,2021
27. En relación con el tran sporte máximo (o tubular máximo) de sustancias en el riñón:,1. La glucosa es la única sustancia manejada por el riñón sin transporte máximo.,2. La capacidad de transporte máximo de todas las nefronas es idéntica.,3. Los sistemas de transporte renal de sustancias con reabsorción o secreción activa se saturan.,4. La capacidad de transporte máximo para una sustancia determinada está muy próxima a la de su tasa de filtración glomerular.,3,2021
28. Sobre el mecanismo fisi ológico de concentración de la orina:,1. El líquido tubular se concentra en el túbulo proximal.,2. El líquido tubular se diluye en la porción ascendente del Asa de Henle.,3. El líquido tubular se concentra en la porción ascendente del Asa de Henle.,4. El líquido tubular puede alcanzar el doble del valor de la concentración osmolar de la médula renal.,2,2021
"29. En relación con la presión de filtración en el glomérulo de las nefronas, es FALSO que si aumentara:","1. La presión hidrostática capilar, entonces la tasa de filtración glomerular aumentaría.","2. La presión coloidosmótica capilar, entonces la tasa de filtración glomerular aumentaría.","3. La presión hidrostática en la cápsula de Bowman, entonces la tasa  de filtración glomerular disminuiría.","4. La presión coloidosmótica en la cápsula de Bowman, entonces la tasa de filtración glomerular aumentaría.",0,2021
30. Sobre la regulación renal de la concentración iónica en el medio extracelular:,1. La concentración plasmática de sodio es mantenida independientemente de la actividad de la aldosterona.,2. La angiotensina II estim ula la reabsorción de sodio a lo largo de los segmentos de la nefrona.,3. La concentración plasmática de sodio es mantenida independientemente de la actividad de la hormona antidiurética.,4. La concentración plasmática de sodio es elevada por acción del péptido natriurético atrial.,2,2021
31. ¿Qué modificación en las siguientes presiones se produce durante la mayor parte del tiempo de la inspiración?:,1. Positivización de la presión torácica.,2. Negativización de la presión alveolar.,3. Positivización de la presión intrapleural.,4. Estabilización de la presión alveolar.,2,2021
32. ¿Qué sustancia de las siguientes produce una disminución de la resiste ncia al flujo aéreo por su acción sobre el músculo liso bronquial?:,1. Acetilcolina.,2. Adrenalina.,3. Histamina.,4. Leucotrienos.,2,2021
33. Una respuesta vasoconstrictora puede observarse en los vasos sanguíneos adyacentes a los alvéolos pulmonares en respuesta a la disminución de la presión parcial de oxígeno en:,1. El plasma arterial pulmonar.,2. El plasma arterial sistémico.,3. El líquido cefalorraquídeo.,4. El aire alveolar.,4,2021
34. ¿Qué efecto generaría sobre la disociación del O2 de la hemoglobina una disminución del pH plasmático sumado a un aumento de la temperatura corporal?:,1. Aumentaría la saturación de oxígeno en la hemoglobina.,2. Disminuiría el efecto Bohr.,3. Se facilitaría la liberación de oxígeno por la hemoglobina.,4. Se compensan los efectos que el pH y la temperatura ejercen sobre la hemoglobina.,3,2021
