Question,Option_1,Option_2,Option_3,Option_4,RC,year
19. ¿Cuál de los siguientes antibióticos betalactámicos N O tiene  activid ad frente a Pseudomonas aeruginosa?:,1. Cefepime.,2. Ceftolozano-tazobactam.,3. Meropenem.,4. Ertapenem.,4,2023
"20. Para generar una infecci ón, los  derm atofitos necesitan afectar a un tejido rico en:",1. Hemoglobina.,2. Colágeno.,3. Queratina.,4. Ácido hialurónico.,3,2023
21. El marcador 1- 3-beta-D-glucano se ele va e n suero e n las siguientes infecciones EXCEPTO en:,1. Aspergilosis invasiva.,2. Candidiasis hepatoesplénica.,3. Mucormicosis rinocerebral.,4. Neumonía causad a por Pn eumocystis jirovecii.,3,2023
22. ¿Cuál de las siguientes c aracterísticas corresponde a Campylobacter?:,1. Es un microorganismo cuyo reservorio es exclusivamente humano.,2. Es un bacilo grampositivo.,3. Produce dia rrea asociada al consumo de carne de ave poco cocinada.,4. En la actualidad se dispone de una vacuna eficaz para prevenir la infección que causa.,3,2023
23. ¿Cuál de las infecciones causadas por uno de los siguientes microorganismos N O puede tratarse con penicilina?:,1. Treponema pallidum.,2. Streptococcus pyogenes.,3. Mycoplasma pneumoniae.,4. Streptococcus agalactiae.,3,2023
"24. En rela ción con la sífilis, seña le la respuesta FALSA:",1. El tratamiento de elección es colistina.,2. El age nte etiológico es Treponema pallidum.,3. Es una infección de transmisión sexual.,4. En fase avanzada puede afectar al sistema nervioso central.,1,2023
"25. En el cultivo de una muestra de l íquido cefalorraquídeo, tras 24 horas de incubación  a 35 ºC, se obser va cr ecimiento en agar ch ocolate y en agar sa ngre, pero no en agar MacConkey. L as colonias crecidas son mucosas, alfa-hemolíticas, catalasa negativa, y presentan sensibilidad a l a optoquina. ¿Cuál serí a el  microorganismo más probable?:",1. Streptococcus pneumoniae.,2. Klebsiella pneumoniae.,3. Escherichia coli.,4. Staphylococcus aureus.,1,2023
26. Señale la afirmación INCORRECTA respecto a Clostridioides difficile:,1. Es un bacilo grampositivo f ormador de esporas.,2. Es anaerobio obligado.,3. El tratamiento de  elección de las infecciones que causa es vancomicina intravenosa.,4. Existen cepas epidémicas que han causado brotes y se asocian a mayor gravedad y mortalidad.,3,2023
27. ¿Cuál de l as siguientes r espuestas es c orrecta respecto al virus SARS-CoV-2?:,1. Es un virus A RN bi catenario de simetría helicoidal.,2. Reconoce el receptor humano ACE2 (enzima convertidora de angiotensina 2).,3. El gen estructural S es idéntico al del virus SARS-CoV-1.,4. Pertenece a la familia Orthomyxoviridae.,2,2023
28. ¿Cuál de las siguientes especies NO pertenece al complejo Enterobacter cloacae?:,1. Enterobacter asburiae.,2. Enterobacter bugandensis.,3. Enterobacter kobei.,4. Enterobacter hormaechei.,0,2023
