Question,Option_1,Option_2,Option_3,Option_4,RC,year
26. ¿Cuál de los siguientes estudios de la coagulación se encontraría alterado en un paciente en el que se sospecha un trastorno hemorrágico hereditario por deficiencia del factor VII?:,1. Tiempo de tromboplastina parcial activado.,2. Tiempo de trombina.,3. Tiempo de protrombina.,4. Determinación de factor von Willebrand.,3,2021
"27. En relación con la toxicidad del etanol, señale la afirmación correcta:",1. El acetato producido en el metabolismo hepático del etanol es oxidado en este tejido para obtener energía.,2. El incremento en la relación NADH/NAD+ en el metabolismo hepático del etanol inhibe la gluconeogénesis.,"3. El ácido úrico compite con el lactato en la excreción urinaria, contribuyendo a la hiperlactacidemia.","4. Los principales marcadores bioquímicos de ingesta habitual de etanol son las transaminasas, especialmente la alaninaaminotransferasa sobre la aspartatoaminotransferasa.",2,2021
"29. En relación con el control fisiológico hormonal y por autacoides de la f iltración glomerular y del flujo sanguíneo renal, indique la afirmación FALSA:",1. El óxido nítrico derivado del endotelio aumenta la resistencia vascular y disminuye la filtración glomerular.,2. Las prostaglandinas y la bradicinina reducen la resistencia vascular renal y tienden a aumentar la filtración glomerular.,3. La noradrenalina y la adrenalina contraen los vasos sanguíneos y reducen la filtración glomerular.,4. La angiotensina II contrae preferentemente las arteriolas eferentes en la mayoría de los estados fisiológicos.,1,2021
"30. Con respecto a la actividad eléctrica del músculo liso gastrointestinal en una situación fisiológica, indique la afirmación FALSA:",1. El ritmo de casi todas las contracciones gastrointestinales viene determinado por la frecuencia de las ondas lentas.,2. La despolarización de las ondas lentas viene determinada por la entrada de iones sodio y calcio.,3. Los potenciales en espiga son potenciales de acción y tienen una duración mayor que el de las grandes fibras nerviosas.,4. En la generación y características de los potenciales en espiga es determinante la participación de iones calcio.,2,2021
"31. En relación con el volumen y flujo sanguíneo en los pulmones, en un sujeto sano y en bipedestación, señale la afirmación FALSA:",1. En la espiración forzada se puede generar trasvase de sangre de la circulación pulmonar a la circulación sistémica.,"2. Cuando disminuye la concentración de oxígeno en los alvéolos, los vasos adyacentes se dilatan.",3. El ejercicio aumenta el flujo sanguíneo en todas las zonas pulmonares.,4. El aumento del gasto cardiaco durante el ejercicio intenso es asumido normalmente sin grandes aumentos en la presión arterial pulmonar.,2,2021
"32. En cuanto a las características de los potenciales de acción que presentan las fibras musculares esqueléticas, en relación con los potenciales de acción de las fibras de las motoneuronas A alfa que las inervan, señale la respuesta INCORRECTA:",1. El potencial de membrana de reposo tiene un valor similar.,2. La duración del potencial de acción de la fibra muscular es mayor.,3. La velocidad de conducción del potencial de acción de la fibra muscular es menor.,4. El flujo de corriente en la profundidad de la fibra muscular es similar al de la motoneurona.,4,2021
33. Las diferentes clases ( isotipos) de inmunoglobulinas (Ig) tienen diferentes funciones que dependen de los fragmentos Fc de sus cadenas pesadas. ¿Cuál de las siguientes afirmaciones es FALSA?:,1. La IgA se une al receptor poli-Ig (pIgR) para atravesar la placenta y participar en la defensa del neonato.,2. La IgG se une al receptor III para Fc-gamma (Fc-gamma-RIII) de los fagocitos activando el proceso de opsonización.,3. La IgM se une a C1q y activa la vía clásica del complemento contribuyendo a la eliminación de bacterias extracelulares.,4. La IgE se une al receptor para Fc-épsilon (Fcépsilon-R) y activa a eosinófilos y mastocitos participando en la defensa frente a los helmintos.,1,2021
34. En la inmunoterapia antitumoral basada en el uso de anticuerpos monoclonales contra puntos de control inmunológico (checkpoints) destaca el uso de los anticuerpos monoclonales que bloquean la interacción entre PD-1 y sus ligandos. ¿Cuál de las siguientes afirmaciones es cierta?:,1. La molécula PD-1 es un receptor inhibidor de los linfocitos T que se expresa mayoritariamente en linfocitos T naive.,2. La interacción de PD-1 y sus ligandos inhibe la activación de los lin focitos T en los ganglios linfáticos.,3. El bloqueo de PD-1 o de sus ligandos potencia la capacidad antitumoral de los linfocitos T CD8+.,4. El uso de este tipo de inmunoterapia no se debe combinar con tratamientos de quimioterapia.,3,2021
35. Diferentes mutaciones en el gen AIRE (Autoimmune Regulator) causan una enfermedad rara denominada síndrome poliglandular autoinmune tipo 1 (APS-1). Respecto al gen ¿cuál de las siguientes afirmaciones es cierta?:,"1. Está ligado al cromosoma X, por lo que el síndrome APS-1 también se conoce como IPEX (Inmunodesregulación, Poliendocrinopatía y Enteropatía ligada al cromosoma X).",2. Se expresa en los timocitos que no expresan CD4 ni CD8 (doble negativos) promoviendo su expansión y participando en el proceso de selección positiva en el timo.,3. Se expresa en las células T reguladoras  controlando su función y siendo responsable del proceso de tolerancia periférica.,4. Se expresa en células epiteliales de la médula tímica regulando la expresión antígenos específicos de otros tejidos y participando en el proceso de selección negativa en el timo.,4,2021
37. Respecto a las células T reguladoras (Treg) es cierto que:,1. Colaboran en la eliminación de células tumorales.,2. Expresan el correceptor inhibidor CTLA-4.,3. Coexpresan tanto CD4 como CD8.,4. Liberan citoquinas como IL-17 o IL-22.,2,2021
