Question,Option_1,Option_2,Option_3,Option_4,RC,year
"1. Sobre el colágeno de tipo I, señale la respuesta correcta:",1. Es una proteína fibrosa muy soluble en agua.,2. La presencia de los aminoácidos hidroxilados4-hidroxilisina y 5-hidroxiprolina contribuye a estabilizar su estructura.,"3. Presenta un enrollamiento superhelicoidal dextrógiro, en sentido opuesto a la hélice levógira de sus cadenas alfa.",4. La cisteína es su aminoácido más abundante.,3,2023
2. ¿Cuál de los siguientes aminoácidos presenta carga neta positiva a pH neutro?:,1. Lisina.,2. Aspartato.,3. Glutamato.,4. Serina.,1,2023
3. ¿Cuál de las siguientes rutas metabólicas permite obtener glucosa a partir de ácidos grasos?:,1. Ciclo de Krebs.,2. Ciclo de Cori.,3. Ciclo del glioxilato.,4. Vía de las pentosas fosfato.,3,2023
4. La ATP sintasa mitocondrial es:,1. El complejo I de la cadena de transporte de electrones.,2. Un canal de NADH.,3. El complejo III de la cadena de transporte de electrones.,4. Un canal de protones.,4,2023
5. ¿Cuál de los siguientes disacáridos carece de poder reductor?:,1. Maltosa.,2. Lactosa.,3. Sacarosa.,4. Celobiosa.,3,2023
6. ¿Qué lipoproteínas recogen el exceso de colesterol depositado en los tejidos periféricos y lo transportan al hígado?:,1. Quilomicrones.,2. VLDL.,3. LDL.,4. HDL.,4,2023
7. El mecanismo de “splicing”:,1. Separa los fragmentos de ADN no codificantes.,2. Elimina los intrones y deja los exones unidos en un ARN mensajero maduro.,3. Es un mecanismo universal en todos los organismos.,"4. Tiene lugar en el citoplasma, antes de que el mensaje sea traducido.",2,2023
8. La temperatura de fusión (Tm) de una molécula de ADN será menor cuanto:,1. Mayor proporción de pirimidinas tenga.,2. Mayor proporción de purinas tenga.,3. Mayor proporción de G y C tenga.,4. Mayor proporción de A y T tenga.,4,2023
9. ¿Cuál de las siguientes afirmaciones sobre el efecto de los inhibidores reversibles sobre la cinética de una enzima NO es cierta?:,1. Los inhibidores competitivos aumentan la Km.,2. Los inhibidores no competitivos no modifican la Km.,"3. Los inhibidores competitivos no modifican la Vmax, mientras que los inhibidores no competitivos la disminuyen.","4. Los inhibidores competitivos disminuyen la Vmax, mientras que los inhibidores no competitivos no la modifican.",4,2023
10. ¿Cuál de las siguientes afirmaciones sobre la estructura en hélice α de las proteínas NO es cierta?:,1. El giro es hacia la izquierda.,2. Las cadenas laterales de los aminoácidos se disponen hacia el exterior de la hélice.,"3. Está estabilizada por enlaces de hidrógeno entre el grupo CO y el grupo NH, ambos del enlace peptídico, situados a varios residuos de distancia.","4. También se las denomina hélices 3,613 porque hay 3,6 aminoácidos y 13 átomos por vuelta.",1,2023
11. La síntesis de urea está principalmente regulada por:,1. Arginasa.,2. Carbamoil fosfato sintetasa.,3. Arginosuccinato sintetasa.,4. Ornitin transcarbamilasa.,2,2023
12. ¿Cuál de las siguientes vitaminas NO es liposoluble?:,1. A,2. C,3. D,4. K,2,2023
"13. Sobre las enzimas glucoquinasa y hexoquinasa, es cierto que:",1. La constante de Michaelis (Km) de la glucoquinasa es mayor que la de la hexoquinasa.,2. La hexoquinasa tiene menor afinidad por la glucosa que la glucoquinasa.,3. La glucoquinasa es inhibida por la glucosa-6fosfato.,4. La hexoquinasa no está presente en el hígado.,1,2023
