Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. La hormona de crecimiento (GH) es:,1. Hiperglucemiante.,2. Esteroidea.,3. Proteolítica.,4. Lipogénica.,5. Aminoacídica.,1,2006
2. Respecto a la forma activa de la vitamina D:,1. No la sintetiza el organismo.,2. Aumenta la absorción intestinal de Ca2+.,3. Es el colecalciferol.,4. Su síntesis es inhibida por PTH.,5. Es hiperglucemiante.,2,2006
3. Disminuye la gluconeogénesis:,1. Aldosterona.,2. Glucagón.,3. Cortisol.,4. Insulina.,5. Tiroxina.,4,2006
4. Producen renina:,1. La mácula densa.,2. Las células del glomerulo.,3. Los hepatocitos.,4. Las células yuxtaglomerurales.,5. Las células pulmonares.,4,2006
5. Es hipocalcemiante:,"1. 1,25 dihidroxicolecalciferol.",2. PTH.,3. Calcitonina.,4. GH.,5. Vitamina D.,3,2006
6. Los principales órganos diana de la insulina son:,1. Riñón y cerebro.,2. Intestino y bazo.,3. Páncreas endocrino.,"4. Músculo, hígado y tejido adiposo.",5. Páncreas exocrino.,4,2006
7. Las células exocrinas del páncreas sintetizan y segregan:,1. Tripsina.,2. Pepsinógeno.,3. Quimotripsinógeno.,4. Insulina.,5. Enterocinasa.,3,2006
8. Produce vasodilatación:,1. Angiotensina II.,2. Vasopresina.,3. ADH.,4. Endotelina.,5. Óxido nítrico.,5,2006
9. La liberación de la  hormona del crecimiento (GH):,1. Disminuye durante el ayuno prolongado.,2. Es inhibida por la somatostatina.,3. Se produce en las células adrenocorticotropas de la hipófisis.,4. Ocurre en los capilares del infundíbulo.,5. Es estimulada por la TRH.,2,2006
"10. En el ser humano, la gonadotropina coriónica se produce en:",1. Adenohipófisis.,2. Neurohipófisis.,3. Placenta.,4. Timo.,5. Glándula pineal.,3,2006
11. Estimula la contracción uterina:,1. Oxitocina.,2. Progesterona.,3. Prolactina.,4. Estradiol.,5. Andrógenos.,1,2006
12. Las somatomedinas so n necesarias para los efectos anabólicos de:,1. Corticosterona.,2. Insulina.,3. Tiroxina.,4. Hormona del crecimiento (GH).,5. Calcitonina.,4,2006
"13. En la respiración basa l, los principales músculos inspiratorios son:",1. Diafragma y los intercostales externos.,2. Intercostales externos e internos.,3. Diafragma y los intercostales internos.,4. Únicamente el diafragma.,5. Recto abdominal y músculos escalenos.,1,2006
14. El ritmo respiratorio se genera en:,1. Células marcapasos alveolares.,2. Los propios músculos respiratorios.,3. El bulbo.,4. Hipotálamo.,5. La corteza motora.,3,2006
15. La presión intrapleural:,1. Es siempre subatmosférica.,2. Es mayor que la intrapulmonar.,3. Es igual a la atmosférica.,4. Se mantiene constante durante el ciclo respiratorio.,5. Se mantiene negativa solo por la acción del agente tensioactivo.,1,2006
16. La GnRH estimula la secreción de:,1. TSH.,2. Testosterona.,3. DHEA.,4. FSH y LH.,5. GH.,4,2006
17. Los cuerpos carotídeos:,1. Son mecanorreceptores.,2. Se localizan en la pared del seno carotídeo.,3. Son quimiorreceptores centrales.,4. Se estimulan por la hipoxia.,5. Cuando se estimulan disminuyen la ventilación.,4,2006
18. La velocidad del flujo linfático aumenta cuando disminuye:,1. La presión del líquido intersticial.,2. El bombeo linfático.,3. La permeabilidad capilar.,4. La presión coloidosmótica del plasma.,5. La presión capilar.,4,2006
"19. En condiciones normales, la cantidad de glucosa reabsorbida por los riñones es:",1. Igual a la filtrada.,2. Cero.,3. Inferior a la que filtran.,4. Mayor a la filtrada.,5. Igual a la reabsorbida.,1,2006
20. El aclaramiento plasmático se mide en:,1. ml/min.,2. mg.,3. ml.,4. mg/ml.,5. mg/min.,1,2006
21. La bilis:,1. Emulsiona las grasas.,2. Degrada ácidos grasos.,3. Transporta grasas en la sangre.,4. Transporta activamente las grasas a través de las membranas celulares.,5. Hidroliza el colesterol.,1,2006
22. Las glándulas sudoríparas:,1. Sólo reciben inervación parasimpática.,2. Son inhibidas por el simpático.,3. Su secreción es aumentada por el simpático.,4. No reciben inervación autónoma.,5. Sólo presentan regulación humoral.,3,2006
23. El factor intrínseco:,1. Lo sintetizan las células intestinales.,2. Es esencial para la absorción de la vitamina B12.,3. Lo producen las células oxínticas.,4. En exceso produce anemia perniciosa.,5. Es esencial para la maduración de leucocitos.,0,2006
24. Los corpúsculos de Pacini:,1. Son mecanorreceptores de adaptación lenta.,2. Están inervados por fibras tipo C.,3. Son terminaciones nerviosas libres.,4. Informan del inicio y el final del estímulo.,5. Se localizan en las capas superficiales de la epidermis.,4,2006
25. El nervio óptico está formado por los axones de células:,1. Fotorreceptoras.,2. Ganglionares.,3. Horizontales.,4. Bipolares.,5. Amacrinas.,2,2006
26. El oído detecta las bajas frecuencias:,"1. Al final de la membrana basilar, cerca del helicotrema.",2. Cerca de la ventana oval.,3. Uniformemente a lo largo de la membrana basilar.,4. En la zona media de la rampa timpánica.,5. Por percusión ósea directa.,1,2006
27. El tronco encefálico NO controla:,1. La postura.,2. La deglución.,3. La circulación sanguínea.,4. El equilibrio.,5. La comparación del movimiento en ejecución con el planificado.,5,2006
28. El haz corticospinal es esencial para:,1. La visión.,2. Los movimientos voluntarios.,3. La cinestesia.,4. El olfato.,5. La identificación auditiva.,2,2006
29. Los colículos superiores del mesencéfalo intervienen en:,1. Los reflejos auditivos.,2. Los reflejos visuales.,3. La liberación de hormonas cerebrales.,4. La interpretación de la información cutánea.,5. La activación del sistema reticular.,2,2006
30. Son de tipo todo o nada los potenciales:,1. Receptores.,2. Generadores.,3. Postsinápticos excitadores.,4. De acción.,5. Postsináticos inhibidores.,4,2006
31. La velocidad de propagación del potencial de acción aumenta:,1. En los axones amielínicos.,2. Al disminuir el diámetro de la fibra.,3. En la conducción continua.,4. Con la mielinización.,5. Al aumentar la longitud de la fibra.,4,2006
32. Los conos y los bastones se diferencian en:,1. El potencial receptor.,2. El retinal.,3. La fosfodiesterasa.,4. Los fotopigmentos.,5. El mecanismo de transducción.,4,2006
33. La mayor sensibilidad a la luz está en la:,1. Fóvea.,2. Pápila.,3. Esclerótica.,4. Coroides.,5. Pupila.,1,2006
34. El órgano de Corti se localiza sobre la:,1. Membrana basilar.,2. Rampa vestibular.,3. Membrana de Reissner.,4. Rampa timpánica.,5. Estría vascular.,1,2006
35. El potencial de acción se transmite de aurículas a ventrículos por:,1. El esqueleto fibroso.,2. Las válvulas aurículo-ventriculares.,3. El haz aurículo-ventricular.,4. Las fibras de Purkinje.,5. Uniones “gap” entre los miocitos auriculares y ventriculares.,3,2006
36. El potencial de acción se propaga al interior de la fibra muscular por:,1. Las líneas Z.,2. El retículo sarcoplasmático.,3. La zona H.,4. Los túbulos transversos.,5. Poros en la membrana plasmática.,4,2006
