Question,Option_1,Option_2,Option_3,Option_4,RC,year
"14. Las siguientes especies son dermatofitos, EXCEPTO:",1. Microsporum canis.,2. Trichophyton rubrum.,3. Trichosporon asahii.,4. Epidermophyton floccosum.,3,2020
15. El biomarcador 1-3-beta-D-glucano es útil para el diagnóstico de las infecciones fúngicas invasivas EXCEPTO las causadas por:,1. Aspergillus terreus.,2. Candida albicans.,3. Cryptococcus neoformans.,4. Pneumocystis jirovecii.,3,2020
"16. En el cultivo de un exudado ótico, tras 24 horas de incubación a 35 ºC, existe crecimiento en placas de agar chocolate, pero NO en agar sangre NI en agar MacConkey. Las colonias son oxidasa positivas y en la tinción de Gram se observan cocobacilos gramnegativos. ¿Cuál sería la identificación más probable?:",1. Klebsiella pneumoniae.,2. Pseudomonas aeruginosa.,3. Haemophilus influenzae.,4. Staphylococcus aureus.,3,2020
17. ¿Cuál es el mecanismo de resistencia a quinolonas más frecuente en bacterias gramnegativas?:,1. Mutaciones en el gen de la ADN girasa (gyrA).,2. Mutaciones en el gen de la ARN polimerasa (rpoB).,3. Modificación de la diana por metilación del ribosoma (genes erm).,4. Beta-lactamasas de clase C de Ambler.,1,2020
18. ¿Qué característica de las siguientes NO es propia de neumococo?:,"1. Puede causar neumonía, meningitis, bacteriemia y otitis, entre otras infecciones.",2. En la tinción de Gram se observan diplococos grampositivos.,3. La colistina es el fármaco de elección para el tratamiento de la meningitis por neumococo.,4. La detección de antígeno polisacárido C de neumococo en orina es útil en el diagnóstico de neumonía en población adulta.,3,2020
19. Señale la opción FALSA respecto a Legionella:,1. Legionella pneumophila serogrupo 1 causa más del95% de los casos de legionelosis adquirida en la comunidad.,2. La infección se adquiere por inhalación de aerosoles de agua contaminada.,3. Levofloxacino y azitromicina son fármacos de elección para el tratamiento de enfermedad grave en pacientes inmunodeprimidos.,4. La fiebre de Pontiac causada por Legionella tiene una mortalidad superior al 30% sin tratamiento.,4,2020
20. ¿Qué opción considera correcta en relación a Neisseria?:,1. Nesseria gonorrhoeae es un patógeno exclusivamente humano.,"2. La presencia de diplococos grampositivos en la tinción de Gram, sugiere un diagnóstico presuntivo de uretritis gonocócica en varones.","3. En función de su cápsula polisacarídica, se han descrito solamente 4 serogrupos en Neisseria meningitidis (A, C, W, Y).",4. Neisseria subflava es un patógeno de la orofaringe humana que siempre se asocia con enfermedad invasiva.,1,2020
21. El agente etiológico más frecuente como causante de faringitis bacteriana es:,1. Streptococcus dysgalactiae.,2. Estreptococo beta-hemolítico grupo G.,3. Arcanobacterium haemolyticum.,4. Streptococcus pyogenes.,4,2020
22. ¿Cuál es la respuesta correcta con respecto al diagnóstico de la infección causada por Mycobacterium tuberculosis?:,1. Para el diagnóstico de enfermedad pulmonar se deben obtener tres muestras respiratorias matinales tomadas en días consecutivos.,2. La reactividad de la prueba cutánea de la tuberculina se interpreta a las 24 horas.,3. La tinción microscópica de Ziehl-Neelsen utiliza colorantes fluorescentes.,4. Se puede medir la liberación de IFN-γ producido por los linfocitos B sensibilizados por los antígenos de M. tuberculosis.,1,2020
23. ¿Cuál es la respuesta correcta con respecto al patógeno Listeria monocytogenes?:,1. Es intracelular obligado.,2. Es muy sensible a altas concentraciones de NaCl.,"3. Los neonatos, ancianos y mujeres gestantes tienen un mayor riesgo de padecer bacteriemia y meningoencefalitis causadas por el mismo.",4. El tratamiento de elección de la enfermedad que causa es ciprofloxacino.,3,2020
24. ¿Cuál de las siguientes asociaciones es correcta?:,1. Corynebacterium diphteriae - Bacilo de Pfeiffer.,2. Clostridium tetani - Bacilo de Welch.,3. Mycobacterium tuberculosis - Bacilo de Löffler.,4. Mycobacterium leprae - Bacilo de Hansen.,4,2020
25. ¿Cuál de las siguientes enterobacterias fermenta la lactosa?:,1. Salmonella.,2. Citrobacter.,3. Proteus.,4. Shigella.,2,2020
"26. El virus SARS-CoV2, responsable de la COVID-19, es un virus del tipo:",1. ARN desnudo.,2. ADN desnudo.,3. ARN envuelto.,4. ADN envuelto.,3,2020
27. ¿Cuál es el principal mecanismo de resistencia a las cefalosporinas en bacterias gramnegativas?:,1. Modificación de la diana del antibiótico.,2. Presencia de bombas de expulsión del antibiótico.,3. Pérdida de las porinas.,4. Producción de beta-lactamasas.,4,2020
28. ¿Cuál de los siguientes es un efecto adverso común de los aminoglucósidos?:,1. Nefrotoxicidad.,2. Caída del cabello.,3. Coloración de los dientes.,4. Elevación de enzimas hepáticas.,1,2020
29. ¿Cuál de los siguientes parásitos puede causar desde la mera colonización asintomática a una afectación intestinal variable entre diarrea leve y un síndrome de malabsorción grave?:,1. Entamoeba dispar.,2. Endolimax nana.,3. Giardia lamblia.,4. Entamoeba hartmanni.,3,2020
