Question,Option_1,Option_2,Option_3,Option_4,RC,year
"26. La adaptación metabólica al inicio del ayuno intermedio (por encima de 24 horas) va acompañado de un aumento en la proteólisis y la liberación de aminoácidos desde el músculo. En esta situación, ¿cuál de las siguientes afirmaciones es cierta?:",1. Los aminoácidos ramificados son degradados en el hígado.,2. La alanina liberada es captada por el hígado para su uso como sustrato gluconeogénico.,"3. La glutamina es transformada en los enterocitos en alanina, generándose amonio y arginina.",4. Los aminoácidos son utilizados en gran parte en el hígado para la síntesis de proteínas plasmáticas.,2,2020
"27. El 2,3-BPG (2,3-bisfosfoglicerato) es un compuesto orgánico que modula la unión de oxígeno a la hemoglobina. Este metabolito es sintetizado en los hematíes a través de una derivación de la vía glicolítica. Señale la respuesta FALSA:","1. La concentración de 2,3-BPG en los eritrocitos (normalmente cercana a 5 mM) aumenta en situaciones de hipoxia, anemia grave y de adaptación a altitudes elevadas.","2. La presencia de 2,3-BPG apenas influye en la oxigenación de la hemoglobina a nivel de los capilares pulmonares en condiciones fisiológicas.","3. La adición de 2,3-BPG a la sangre almacenada para transfusiones es ineficaz.","4. La hemoglobina fetal tiene mayor afinidad por el2,3-BPG que la hemoglobina A1.",4,2020
"28. En cuanto a las interrelaciones entre la presión, el flujo y la resistencia de los vasos sanguíneos, señale la afirmación INCORRECTA:",1. La resistencia es directamente proporcional a la diferencia de presión e inversamente proporcional al flujo.,"2. En el flujo laminar, la velocidad del flujo en el centro del vaso es mayor que en los bordes exteriores.",3. Cambios pequeños en el diámetro de un vaso provocan cambios importantes en su conductancia.,"4. Si se añaden vasos sanguíneos en paralelo en un circuito, aumenta la resistencia vascular total.",4,2020
29. En relación con la autorregulación de la filtración glomerular (FG) y del flujo sanguíneo renal (FSR) en condiciones fisiológicas señale la afirmación INCORRECTA:,1. Los valores de FG y FSR se mantienen relativamente constantes a pesar de cambios acentuados en la presión arterial sistémica.,"2. Se autorregulan en paralelo, pero en ciertas condiciones es más eficiente la autorregulación del FSR.",3. La reducción del cloruro de sodio en la mácula densa dilata las arteriolas aferentes y aumenta la liberación de renina.,4. La angiotensina II ejerce una acción vasoconstrictora preferente sobre las arteriolas eferentes renales.,2,2020
"31. El  resultado de la gasometría arterial de un paciente es: pH: 7,40, PaCO2 60 mmHg; bicarbonato 36 mM/L. ¿Cuál es la alteración que presenta?:","1. Ninguna, el pH es normal.",2. Acidosis respiratoria.,3. Acidosis respiratoria y alcalosis metabólica.,4. Alcalosis metabólica.,3,2020
32. ¿Cuál de las siguientes consecuencias puede tener una mutación del nucleótido G por el nucleótido A en el primer nucleótido de un intrón?:,1. Al ser una mutación intrónica no tiene ninguna repercusión.,2. Al ser una transición (los dos nucleótidos tienen la misma estructura) no tiene ninguna repercusión.,3. Aunque es una mutación intrónica produce la exclusión de todos los exones que están situados detrás de la mutación.,"4. La mutación en este nucleótido puede afectar a la maduración del ARN (splicing) y cambiar la estructura del ARN y, por consiguiente de la proteína.",4,2020
33. Cuando un mismo cuadro clínico (o con pequeñas modificaciones) está causado por mutaciones diferentes de un mismo gen nos referimos a la:,1. Heterogeneidad de locus.,2. Heterogeneidad alélica.,3. Heterogeneidad genética.,4. Impronta parental.,2,2020
35. Los receptores para los fragmentos Fc de las diferentes clases de inmunoglobulinas (Ig) se pueden expresar en distintos tipos de células que llevan a cabo funciones efectoras. Indique cuál de las siguientes afirmaciones es FALSA:,1. La IgG se une al receptor III para Fc-gamma (Fcgamma-RIII) en las células NK activando la citotoxicidad celular dependiente de anticuerpos (ADCC).,2. La IgA se une al receptor poli-Ig (pIgR) del epitelio intestinal para llegar a la luz intestinal.,3. La IgM se une al receptor Fc neonatal (FcRn) en el sincitiotrofoblasto para atravesar la placenta.,4. La IgE se une al receptor para Fc-epsilon (Fcepsilon-R) en mastocitos e induce su desgranulación.,3,2020
"37. En relación con la inmunoterapia basada en linfocitos T con receptores antigénicos quiméricos (chimeric antigen receptor, CAR) que reconocen CD19 (CART19):",1. Está aprobada para el tratamiento de leucemia mieloblástica aguda refractaria o en recaída.,2. Un efecto secundario grave de esta terapia es el síndrome de liberación de citoquinas.,3. El receptor CAR reconoce CD19 de forma restringida por el HLA.,4. Se asocia a hipergammaglobulinemia permanente por activación crónica de linfocitos B CD19+.,2,2020
"78. Referida a la parotiditis epidémica en la infancia, señale la respuesta FALSA:",1. El virus de la parotiditis solo presenta un inmunotipo y el ser humano es el único huésped natural.,2. La vacuna de la parotiditis está incluida en la vacuna triple vírica y en la tetravírica y precisa dos dosis.,3. La orquitis como complicación es más frecuente en la infancia más temprana.,4. La pancreatitis puede producirse en la parotiditis con o sin afectación clínica de las glándulas parotídeas.,3,2020
81. En relación con la anemia de Fanconi indique la respuesta INCORRECTA:,1. La anemia aplásica suele estar ya presente en los primeros meses de vida.,2. Son típicas las malformaciones esqueléticas.,"3. El trasplante de progenitores hematopoyéticos es el tratamiento curativo, pero no hace desaparecer el riesgo de cáncer.",4. Los andrógenos suelen producir una respuesta favorable pero transitoria.,1,2020
169. ¿Cuál de los siguientes iones urinarios favorece la formación de litiasis urinaria?:,1. Citrato.,2. Magnesio.,3. Sodio.,4. Sulfato.,3,2020
