Question,Option_1,Option_2,Option_3,Option_4,RC,year
122. La presencia de cuál de las siguientes disposiciones estructurales de una proteína sugiere que es una proteína reguladora de unión al DNA:,1. Dedo de zinc.,2. Hélice α.,3. Cadena β.,4. Región desordenada.,1,2021
"123. La síntesis de la urea requiere la siguientes enzimas, EXCEPTO:",1. Carbamil fosfato sintetasa I.,2. Carbamil fosfato sintetasa II.,3. Ornitina transcarbamilasa.,4. Argininosuccinato sintetasa.,2,2021
124. ¿Cuál de los siguientes parámetros se eleva más en el suero de una muestra hemolizada?:,1. Lactato deshidrogenasa.,2. Potasio.,3. Fosfato inorgánico.,4. Calcio.,1,2021
125. Las endonucleasas de restricción (o enzimas de restricción):,1. Hidrolizan enlaces fos foéster comenzando por los extremos 5' del DNA.,2. Se utilizan para la formación de moléculas híbridas mediante recombinación.,3. Reconocen y cortan el DNA en secuencias libres de nucleosomas.,4. Reconocen y cortan el DNA en secuencias de reconocimiento específicas.,4,2021
126. ¿Cuál de las siguientes afirmaciones sobre la complementariedad de las bases nitrogenadas en el DNA es cierta?:,1. Las bases G y C se unen mediante 3 puentes de hidrógeno.,2. Las bases A y T se unen mediante 3 puentes de hidrógeno.,3. Las bases A y G se unen mediante 2 puentes de hidrógeno.,4. Las bases A y C se unen mediante 2 puentes de hidrógeno.,1,2021
127. ¿Cuál de estas frases referidas a la teoría quimiosmótica que relaciona el transporte electrónico mitocondrial y la fosforilación oxidativa es correcta?:,1. La ATP sintasa no se afecta por el gradiente de protones.,2. La energía liberada por el transporte electrónico se conserva como un gradiente de pH transmembrana.,3. La fosforilación oxidativa puede tener lugar en un sistema libre de membranas.,"4. Independientemente del punto de entrada de los electrones en la cadena de transporte, el número de moléculas de ATP sintetizadas es constante.",2,2021
128. La principal enzima reguladora de la velocidad de la vía glucolítica es:,1. Fosfofructoquinasa1.,2. Hexoquinasa.,3. Piruvato deshidrogenasa.,4. Enolasa.,1,2021
129. ¿Cuál es la principal utilidad de la hemoglobina glicosilada?:,1. Valorar el control metabólico de un diabético.,2. Diagnóstico de la diabetes mellitus.,3. Indicar cuando existen complicaciones en una diabetes.,4. Indicar cuando puede existir una diabetes gestacional.,1,2021
"130. El cerebro está adapta do a usar preferentemente glucosa. Por ello, cabe esperar que su transportador de glucosa sea:",1. De alta afinidad y por tanto con elevada Km.,2. De baja afinidad y por tanto con elevada Km.,"3. De alta afinidad, independientemente de su Km.",4. De alta afinidad y por tanto con baja Km.,4,2021
131. La acetil-Coenzima A (Acetil-CoA) es portador de:,1. Grupos acetonitrilo en algunas reacciones enzimáticas.,2. Grupos amino en algunas reacciones de transaminación.,3. Grupos acetilo en algunas reacciones enzimáticas.,4. Grupos etilo en algunas reacciones enzimáticas.,3,2021
"132. La degradación oxidativa de la acetil CoA en el ciclo del ácido cítrico da un resultado neto de todos los compuestos siguientes, EXCEPTO:",1. 1 GTP.,2. 2 ATP.,3. 3 NADH.,4. 2 CO2.,2,2021
"133. En contraste con el estado de reposo, el tejido muscular humano en contracción activa presenta:",1. Una mayor tasa de formación de lactato.,2. Una mayor concentración de ATP.,3. Un menor consumo de glucosa.,4. Un menor consumo de oxígeno.,1,2021
