V	RC	V	RC	V	RC	V	RC	V	RC
1	1	48	2	95	4	142	3	189	1
2	2	49	4	96	2	143	4	190	3
3	4	50	2	97	1	144	3	191	2
4	2	51	1	98	3	145	3	192	2
5	3	52	1	99	3	146	2	193	1
6	2	53	2	100	1	147	3	194	3
7	4	54	2	101	1	148	2	195	3
8	4	55	3	102	4	149	4	196	2
9	3	56	3	103	2	150	1	197	4
10	3	57	4	104	3	151	3	198	1
11	1	58	2	105	3	152	3	199	1
12	2	59	3	106	1	153	2	200	4
13	4	60	4	107	2	154	3	201	2
14	4	61	1	108	0	155	4	202	1
15	4	62	3	109	0	156	1	203	0
16	3	63	4	110	2	157	2	204	3
17	1	64	2	111	3	158	1	205	1
18	3	65	1	112	1	159	2	206	2
19	3	66	4	113	1	160	3	207	2
20	2	67	1	114	2	161	1	208	1
21	2	68	2	115	0	162	3	209	0
22	1	69	1	116	4	163	2	210	4
23	4	70	3	117	2	164	0	211	0
24	1	71	4	118	1	165	1	212	3
25	3	72	3	119	3	166	3	213	3
26	1	73	2	120	0	167	3	214	0
27	3	74	3	121	4	168	2	215	2
28	3	75	1	122	0	169	3	216	2
29	2	76	2	123	3	170	2	217	1
30	2	77	3	124	2	171	0	218	1
31	3	78	0	125	1	172	1	219	4
32	1	79	1	126	3	173	1	220	2
33	3	80	1	127	1	174	3	221	1
34	2	81	3	128	3	175	0	222	1
35	3	82	1	129	1	176	2	223	4
36	4	83	4	130	2	177	4	224	4
37	1	84	1	131	3	178	2	225	4
38	2	85	1	132	4	179	2	226	4
39	1	86	1	133	3	180	3	227	4
40	2	87	3	134	4	181	4	228	4
41	2	88	4	135	1	182	3	229	3
42	1	89	3	136	1	183	1	230	2
43	3	90	3	137	4	184	2	231	2
44	1	91	2	138	2	185	2	232	3
45	1	92	1	139	3	186	0	233	4
46	4	93	2	140	2	187	4	234	2
47	3	94	3	141	1	188	1	235	4
