V	RC	V	RC	V	RC	V	RC	V	RC
1	3	38	3	75	1	112	1	149	2
2	1	39	3	76	1	113	3	150	1
3	1	40		77	3	114	4	151	4
4	4	41	4	78	2	115	2	152	3
5	2	42	2	79	4	116	3	153	2
6	2	43	4	80	3	117	3	154	1
7	4	44	4	81	2	118	1	155	1
8	3	45	3	82	4	119	3	156	2
9	2	46	1	83	3	120	3	157	1
10	4	47	4	84	2	121	2	158	4
11	3	48	1	85	2	122	4	159	3
12	3	49	2	86	2	123	4	160	4
13	1	50	1	87	1	124	2	161	1
14	2	51	4	88	1	125	2	162	3
15	2	52	1	89		126	4	163	3
16	4	53	3	90	3	127	3	164	3
17	4	54	2	91	4	128	2	165	2
18	2	55	4	92	1	129	4	166	
19	1	56	2	93	3	130	3	167	2
20	1	57		94	4	131	3	168	1
21	2	58	4	95	1	132	2	169	1
22	3	59	3	96		133	1	170	4
23	4	60	3	97	4	134	3	171	2
24	4	61	3	98	3	135	3	172	1
25	3	62	2	99	4	136	2	173	2
26	2	63	2	100	2	137	1	174	4
27	1	64	1	101	1	138	2	175	2
28	1	65	1	102	3	139	4	176	2
29	2	66	3	103	2	140	3	177	4
30	3	67	2	104	2	141	3	178	2
31	1	68	3	105	1	142	4	179	1
32	2	69	4	106	4	143	3	180	2
33	3	70	1	107	3	144	2	181	3
34	3	71	1	108	2	145	4	182	1
35	1	72	3	109	3	146	3	183	1
36	4	73	3	110	4	147	2	184	4
37	3	74	4	111	2	148	1	185	2
