V	RC	V	RC	V	RC	V	RC	V	RC
1	4	38	1	75	2	112	3	149	3
2	1	39	2	76	3	113	1	150	4
3	2	40	1	77	4	114	2	151	2
4	1	41	4	78	2	115	3	152	4
5	3	42	1	79	3	116	4	153	3
6	1	43	2	80	1	117	3	154	1
7	2	44	1	81	4	118	2	155	2
8	3	45	3	82	3	119	3	156	2
9	4	46		83	2	120	1	157	3
10	3	47	1	84		121	3	158	4
11	4	48	2	85		122	2	159	2
12	4	49	3	86	2	123	4	160	3
13	3	50	1	87	1	124	3	161	1
14	4	51	4	88	3	125	2	162	2
15	4	52	2	89		126	3	163	4
16	2	53	1	90	1	127		164	3
17	3	54	3	91	3	128		165	2
18	4	55	2	92	4	129	3	166	4
19	4	56	3	93	3	130	2	167	3
20	3	57	2	94	1	131	3	168	1
21	3	58	1	95	1	132	4	169	3
22	1	59	3	96	3	133	3	170	3
23	4	60	1	97	2	134	2	171	4
24	1	61	2	98	4	135	3	172	2
25	3	62	3	99	4	136	4	173	1
26	4	63	4	100	1	137	3	174	3
27	2	64	1	101	3	138	2	175	3
28	3	65	3	102	2	139	3	176	3
29	1	66	2	103	2	140	2	177	1
30	3	67	1	104	4	141	3	178	1
31	1	68	3	105	2	142	2	179	2
32	4	69	2	106	4	143	1	180	2
33	2	70	4	107	3	144	4	181	1
34	1	71	2	108	4	145	3	182	4
35	1	72	1	109	2	146	4	183	4
36	1	73	3	110	3	147	2	184	4
37	2	74	1	111	4	148	1	185	2
