Año,Num Q,RC,Enunciado
2023,1,3,"1=>Teniendo en cuenta la relación estructura- actividad ge neral de los agentes ne urolépticos derivados de butirofenona, ¿cuál de las modifi- caciones propuestas conduciría a compuestos más activos?: 1=>Sustitución del grupo carbonilo B por un tiocarbonilo 2=>Eliminación del átomo de flúor en el ani- llo aromático A 3=>Introducción de un anillo de piperidina, tetrahidropiridina o piperazina sustitui- dos como fragmento D 4=>Alargamiento de la cadena C "
2023,2,2,2=>La siguiente reacción es un proceso de semisín- tesis para la obtención de  derivados de  bases nitrogenadas. ¿Qué producto resultar á de la siguiente  secuencia de  reacciones?: 1=>Adenina 2=>Guanina 3=>8-amino-9H-purina 4=>2-amino-9H-purin-8-ol 
2023,3,4,3=>¿Qué representa el símbolo 𝝅 (pi) en una ecua- ción QSAR (Quantitative Structure Activity Rela - tionship) de tipo Hansch-Fujita?: 1=>El coeficiente de partición octanol/agua de la molécula 2=>Los efectos electrónicos de un sustituyen- te 3=>Los efectos estéricos de un sustituyente 4=>La constante de hidrofobicidad de un sus- tituyente.
2023,4,3,"4=>Un compuesto inactivo que necesita ser activado por procesos metabólicos para tener efe cto te- rapéutico, se denomina: 1=>Fármaco huérfano 2=>Fármaco bioequivalente 3=>Profármaco 4=>Antimetabolito"
2023,5,2,5.¿Cuál de l os siguientes grupos funcionales se considera bioisóstero del grupo carboxílico?: 1=>Grupo nitrilo 2=>Tetrazol 3=>Tiofeno 4=>Fenol
2023,6,1,"6.¿Qué efecto tiene en l a actividad de las 1,4- benzodiazepinas l a presenc ia de un grupo hi- droxilo en la posición C-3, frente a su análogo sin hidroxilar?: 1=>Conduce a compuestos que se eliminan más rápidamente 2=>Conduce a compuestos de vida media más larga 3=>Conduce a compuestos antagonistas del GABA 4=>Conduce a  compuestos sin actividad a n- siolítica"
2023,7,1,"7.La conjugación con aminoácidos es una reac- ción metabólica de fase II. ¿Sobre cuál de los siguiente s grupos puede tener lugar la reac- ción?: 1=>Ácidos carboxílicos activados como tioés- teres 2=>Aminas primarias aromáticas 3=>Fenoles 4=>Hidroxilaminas aromáticas, procedentes de la reducción del correspondiente nitro- derivado"
2023,8,4,"8.La hidrólisis de la amida en la po sición 7 de la cefalosporina C permite  obtener  el ácido 7- aminocefalosporánico (7-ACA). Para ello, una vez proteg ido el grupo ácido carboxílico de la cefalosporina, se trata con pentacloruro de fósforo y desp ués con metanol. ¿En qué grupo sensible a la hidrólisis se ha co nvertido la amida de la posición 7?: 1=>Enamina 2=>Cloruro de ácido 3=>Hemiacetal 4=>Iminoéter  "
2023,9,4,9. La siguiente estructura corresponde al anti tu- moral mitomicina C. ¿Cuál es el paso inicial del  proceso de activación de la mitomicina C que la  convierte e n un agente alquilante?:        1=> Apertura del anillo de aziridina.  2=> Hidrólisis del carbamato.  3=> Formación de una enamina por pérdida de  metanol.  4=> Reducción del anillo de quinona.   
2023,10,2,10. ¿Qué rel ación tiene el sigui ente compuesto con  el neurolép tico flufenazina?:        1=> Es un análogo que establece interacciones   adicionales con el receptor y prolonga su  acción ne uroléptica.  2=> Es un profármaco más l ipófilo para su uso  en tratamientos prolongados.  3=> Es un anál ogo blando que se metaboliza   por hidrólisis de una manera predecible.  4=> Es un análogo de acción c orta porque  la  cadena voluminos a dificulta su unión al  receptor.   
2023,11,3,11=> ¿Qué relación tiene la isoguvacina con el GABA  (ácido gamma-aminobutírico)?:        1=> Es un isóstero.  2=> Es un homólogo.  3=> Es un análogo rígido.  4=> Es un vinílogo.   
2023,12,2,12=> ¿Qué tipo de interacci ón se establece entre el   grupo fenólico de la molécula de morfina y el  receptor opioi de?:    1=> Enlace iónico.  2=> Enlace de hidróge no.  3=> Interacción pi-catión.  4=> Interacción dipolo-di polo.         
2023,13,4, 13=> ¿Cuál de las siguientes afirmaciones en r elación  con el antioxidante natural ácido ascórbico es  correcta?:    1=> Es un antioxidante preventivo por su efec- to quelante .  2=> Es un antioxidante preventivo como agen- te que absorbe en el UV.  3=> Es un antioxidante estabilizador de mem- branas.  4=> Es un antioxidante capta dor de radicales.   
2023,14,1,14=> La acción antitumoral de la dacarbazina se  debe a la form ación de:    1=> Una sal de metildiazonio.  2=> Un catión aziri dinio.  3=> Un radical hidroxilo.  4=> Una quinonimina.   
2023,15,4,15. ¿Cuál de las siguientes afirmaciones sobre el  mecanism o de acción de las antraciclinas NO es  correcta?:    1=> Son agentes intercalantes del ADN.  2=> Generan radicales hidroxilo.  3=> Son agentes quelan tes.  4=> Se unen al sitio A de la subunidad 30S del  ribosoma.   
2023,16,3,16. ¿Con qué molécula endógena guarda relación  estructural el siguiente  fármaco?:        1=> Es un agonista del rece ptor de e ncefali- nas.  2=> Es un agonista del receptor de GABA.  3=> Es un anta gonista del recept or de angio- tensina II.  4=> Es un antagonista de receptores de ADP.   
2023,17,2,17. ¿Cuál de las siguiente s manipulaciones estruc - turales incrementa la acción anabólica de las  hormonas masculinas?:    1=> Introducción de un h idroxilo en la posi- ción 11β.  2=> Sustitución del carbono 2 por oxígeno.  3=> Aromatización del a nillo A.  4=> Introducción de un metilo en la posición  16α.                 
2023,18,1,18. ¿Cuál de las siguientes estrategias aumentará la  solubilidad en ag ua de una molécula candida ta  a fármaco?:    1=> La introducción de un grupo hidroxilo.  2=> La sustitución de un grupo hidroxilo por  un metilo.  3=> La reducción de un grupo cetona  a alcano.  4=> La introducción de un anillo aromático .   
2023,19,4,19. ¿Cuál de los siguientes antibióticos betalactámi- cos NO tiene actividad frente a Pseudomonas  aeruginosa?:    1=> Cefepime.  2=> Ceftolozano-tazobactam.  3=> Meropenem.  4=> Ertapenem.   
2023,20,3,"20. Para generar una infecci ón, los dermatofitos  necesitan afectar a un tejido rico en:    1=> Hemoglobina.  2=> Colágeno.  3=> Queratina.  4=> Ácido hialurónico.   "
2023,21,3,21=> El marcador 1-3-beta-D-glucano se ele va en  suero en las siguiente s infecciones EXCEPTO  en:    1=> Aspergilosis invasiva .  2=> Candidiasis hepatoesplénica.  3=> Mucormicosis rinocere bral.  4=> Neumonía causad a por Pneumocystis ji- rovecii.   
2023,22,3,22=> ¿Cuál de las siguientes caracterís ticas corres- ponde a Campylobacter?:    1=> Es un microorganis mo cuyo reservorio es  exclusivamente humano.  2=> Es un bacilo grampositivo.  3=> Produce dia rrea asociada al consumo de  carne de ave poco coci nada.  4=> En la actualidad se dispone de una vacuna  eficaz para  prevenir la infección que  cau- sa.   
2023,23,3,23=> ¿Cuál de l as infecciones causadas por uno de los   siguientes microorganismos NO puede tratarse  con penicilina? :    1=> Treponema pallidum.  2=> Streptococcus pyogenes.  3=> Mycoplas ma pneumoni ae.  4=> Streptococcus agalactiae.               
2023,24,1," 24=> En relación con la sífilis, seña le la respuesta  FALSA:    1=> El tratamiento de elección es  colistina.  2=> El agente etiológico es Treponema pa- llidum.  3=> Es una infección de transmisión sexual.  4=> En fase avanzada puede afectar al sistema  nervioso central.   "
2023,25,1,"25. En el cultivo de una muestra de líquido cefalo- rraquíde o, tras 24 horas de incubación  a 35 ºC,  se observa crecimiento en agar chocolate y en  agar sangre, pero no en agar MacConkey. Las  colonias crecidas son mucosas, alfa-hem olíticas,  catalasa negativa , y presentan sensibilida d a la  optoquina. ¿Cuál serí a el microorganismo más  probable?:    1=> Streptococcus pneumoniae.  2=> Klebsiella pneumoniae.  3=> Escherichia coli.  4=> Staphylococcus aureus.   "
2023,26,3,26. Señale la afirmación I NCORRECTA respecto a  Clostridioides difficile:    1=> Es un bacilo grampositivo formador de  esporas.  2=> Es anaerobio obligado.  3=> El tratamiento de  elección de las infec- ciones que causa es vancomicina intrave- nosa.  4=> Existen cepas epidémicas que han causa- do brotes y se asocian a mayor gravedad y  mortalidad.   
2023,27,2,27. ¿Cuál de l as siguientes r espuestas es c orrecta  respecto al virus SARS-CoV-2?:    1=> Es un virus ARN bicatenario de simetría  helicoidal.  2=> Reconoce el receptor huma no ACE2 (en- zima convertidora de angiotensina 2).  3=> El gen estructural S es idéntico al del vi- rus SARS-CoV-1=>  4=> Pertenece a la familia Orthomyxoviridae.   
2023,28,0,28. ¿Cuál de las siguientes especies NO pertenece al  complejo Enterobacter cl oacae?:    1=> Enterobacter asburiae.  2=> Enterobacter bugandensis.  3=> Enterobacter k obei.  4=> Enterobacter hormaec hei.   
2023,29,2,29. ¿Cuál(es) de los siguientes agentes etio lógicos de  endocarditis NO se podría(n) detectar mediante  el método de hemocultivos?:    1=> Staphylococcus aureus.  2=> Bartonella spp.  3=> Streptococcus viridans.  4=> Aggregatibacter spp.     
2023,30,1,30. ¿Cuál de las siguientes afirmaciones es c orrecta  en cuanto al diagnóstico microbiológico de Le- gionella pneumophila?:    1=> El medio de cultivo que se suele usar para  su aislamie nto es el  agar BCYE (agar  tamponado con carbón activado y extrac- to de levadura).  2=> Los inmunoanálisis se emplean pa ra de- tectar antíge nos lipopolisacáridos especí- ficos de Legionella de todos los serogru- pos excretados en la orina de los pacien- tes afectados.  3=> En la tinci ón de Gram a parecen como ba- cilos grampositivos finos y pleomorfos  teñidos de forma débil.  4=> Para su crecimiento necesit an medios de  cultivo carentes de L-cisteína.   
2023,31,4,31=> ¿Cuál de las siguientes asociaciones NO es co- rrecta?:    1=> Infección de  quemaduras-Pseudomonas   aeruginosa.  2=> Infección por mordedura-Eikenella co- rrodens.  3=> Fascitis n ecrosante-Streptococcus pyoge- nes.  4=> Impétigo-Clostridioides difficile.   
