Año,Num Q,RC,Enunciado
2019,71,2,71=> Las inmunoglobulinas o anticuerpo s:    1=> Son proteínas solubles que constituyen la  base proteica de la respuesta ho rmonal.  2=> Son proteínas solubles que constituyen la  base proteica de la respuesta i nmune.  3=> Son proteínas globulares pequeñas y solubles.  4=> Una de las más importantes es la Hemoglobi- na.   
2019,72,1,"72=> ¿Cuál de las siguientes afirmaciones es cierta  para la proteína quinasa activada por AMP  (AMPK)?:    1=> Se activa cuando la carga energética de las  células es baja.  2=> Se activa co n una relación AMP: ATP baja.   3=> Activa rutas como la síntesis de ácidos gra- sos, triacilgliceroles y colesterol.  4=> Fosforila sustratos para inhibir la captación de  glucosa.             "
2019,73,3," 73=> La fenilcetonuria, la causa más frecuente de  elevación en plasma de fenilalanina, se produce  por un defect o en la actividad de la enzima:    1=> Cistationina beta-sintasa.  2=> Arginasa.  3=> Fenilalanina hidroxilasa.  4=> Tirosina aminotransferasa.   "
2019,74,1,74=> ¿Con qué tipo de lipoproteínas se relaciona el  transporte inverso de colesterol?:    1=> HDL.  2=> LDL.  3=> VLDL:  4=> Quilomicrones.   
2019,75,2,"75. La molécula de DNA mitocondrial es:    1=> Circular, de cadena simple.  2=> Circular, de cadena doble.   3=> Lineal, de cadena simple.  4=> Lineal, de cadena doble.    "
2019,76,3,"76. En una pro teína conjugada, el grupo prostético:    1=> Es una región globular.  2=> Es una subunidad diferente de las demás.  3=> Es una parte de la proteína que no está com- puesta por aminoácidos.  4=> Está unido por puentes de hidr ógeno.   "
2019,77,4,77. La enzima reguladora de la biosíntesi s del coles- terol es:    1=> Colestero l esterasa.   2=> Cetotiolasa.   3=> Fosfolipasa C.  4=> 3-Hidroxi 3-metilglutaril-CoA reductasa.   
2019,78,2,78. ¿Qué caracteriza a la enzima lactato deshidro- genasa en la fermentación láctica?:    1=> Liberar CO2=>  2=> Consumir NADH.  3=> Tener como sustrato acetil Co A.  4=> Permitir que continúe la glucolisis aerobia.    
2019,79,3,79. ¿Cuál de las siguiente s enzimas tiene como fun- ción in vivo catalizar la replicación del DNA  mitocondrial en las células eucariotas?:    1=> DNA polimerasa α.  2=> DNA polimerasa β.  3=> DNA polimerasa γ.  4=> DNA polimerasa δ.  
2019,80,1," 80. ¿Cuál de estas afirmaciones sobre la estructura  secundaria de proteínas en hélice alfa es correc- ta?:    1=> Cada vuelta de la hélice contiene 3.6 residuos  de aminoácido.  2=> Puede ser paralela o antiparalela.  3=> Puede acomodar cualquier tipo de aminoácido  con la misma probabilidad.  4=> En esta estructura secundaria, las cadenas  laterales de los aminoácidos se hallan dirigi- das hacia su interior.   "
2019,81,4,81=> ¿Cuál de las siguientes afirmaciones acerca de  los cuerpos cetónicos es cierta?:    1=> Se producen en el músculo y son utilizad os en  el hígado.  2=> En la diabetes sin tratar se inhibe su produc- ción.  3=> Se eleva su producción después de la ingesta  en individuos sanos.  4=> El cerebro los utiliza como combustible en  periodos de ayuno largos.   
2019,82,3,82=> El punto isoeléctrico o pH isoeléctrico (pl) de un  aminoácido es el pH característico en el que:    1=> Tiene carga neta p ositiva.  2=> Su carga neta es negativa.  3=> La carga neta es cero.  4=> Es más hidrofóbico.   
2019,83,2,83=> Las concentraciones elevadas de citrato reducen  la actividad de:    1=> La ruta de las pentosas-fosfato.  2=> La glucólisis.  3=> La gluconeogénesis.  4=> La síntesis de ácidos grasos.   
2019,84,0,84=> Los itrones son:    1=> Secuencias de DNA que no se transcriben a  RNA.  2=> Secuencias contenidas en el RNA que actúan  como promotoras de la expresión génica.  3=> Secuencias del DNA que codifican los ami- noácidos de las regiones internas de las pro- teínas.  4=> Los fragmentos que son eliminados durante el  proceso de maduración del RNA mensajero.   
2019,85,0,85. La hemoglobina y la mioglobina:    1=> Poseen la misma afinidad por el O2=>  2=> Son proteínas alostér icas.  3=> Unen O2 al Fe de sus heminas.  4=> Carecen d e grupo prostético.         
2019,86,2, 86. ¿Cuál de los siguiente s nutrientes es un precur- sor de un cofactor que transporta grupos de un  carbono con diferentes estados de oxidación?:    1=> Metionina.  2=> Ácido fólico.  3=> Tiamina.  4=> Biotina.   
2019,87,1,"87. En el síndrome de Lesch-Nyhan, el defecto en la  actividad de la enzima hipoxantina  guanina  fosforribosiltransferasa lleva a la acumulación  de:    1=> Ácido Úrico.  2=> Urea.  3=> Tetrahidrofolato.  4=> Citidina.   "
2019,88,3,88. La glucogenolisis muscular no aporta directa- mente glucosa a la sangre debido a que el  músculo carece de la enzima:    1=> Fosforilasa.  2=> Fosfoglucomutasa.  3=> Glucosa-6-fosfatasa.  4=> Fosfoglucoisomerasa.   
2019,89,0,"89. Con respecto a la estructura de los ácidos nu- cleicos, indique cuál de las siguientes afirmacio- nes es FA LSA:    1=> Los monómeros del polímero de una hebra  sencilla de DNA son 4 desoxirribonucleicos  trifosfato.  2=> Un solenoide es una ordenación helicoidal de  nucleosomas.  3=> El componente proteico de la cromatina está  constituido por 5 histonas diferentes: H1,  H2A, H2B, H3 y H4=>  4=> Un nucleosoma está constituido por 4 copias  de cada histona H2A, H2B, H3 y H4=>   "
2019,90,1,90. La estructura terciaria de un polipéptido des- cribe:    1=> La estructura tridimensional completa de la  cadena polipeptídica.  2=> Todos los aspectos del plegamiento bidimen- sional del polipéptido.  3=> El número y situación de los puentes disulfu- ro presentes en  un polipéptido.  4=> La relación estructural entre las subunidades  de una proteína.   
2019,91,3,"91=> Respecto  a la hemoglobina:    1=> Su curva de disociación del O2 es hiperbólica.  2=> El pH intracelular no influye en la unión de  O2=>  3=> El 2,3 bisfosfoglicerato reduce su afinidad por  el O2=>  4=> La hemoglobina S es la forma presente en la   "
2019,92,4," 92=> El porcentaje de Adenina (A) en el DNA de un  cromosoma bacteriano es del 22%; ello implica  que los porcentajes de Guanina (G), Timina (T)  y Citosina (C) son:    1=> G = 30%; T = 22%; C = 26%.  2=> G= 28%; T = 28%; C = 22%.  3=> G = 22%; T = 28%; C = 28%.  4=> G = 28%; T = 22%; C = 28%.   "
2019,93,3,93=> La desnatura lización térmica del DNA da lugar  a:    1=> Un efecto hipocrómico.  2=> La rotura de enlaces glicosídicos dando un  efecto hipercrómico.  3=> Una temperatura de fusión que depende del  contenido de bases.  4=> La rotura de los enlaces fosfodiester dando un  efecto hipercrómico.   
2019,94,1,"94=> En la replicación del DNA en E. coli, señale la  respuesta correcta:    1=> La enzima primasa cataliza la síntesis de los  cebadores de la DNA polimerasa.  2=> Los cebadores de la DNA polimerasa se de- nominan fragmentos de Okazaki.  3=> La eliminación de los cebadores la lleva a  cabo la DNA polimerasa III.  4=> La DNA girasa introduce superenrollamientos  helicoidales positivos   "
2019,95,1,95. El método de Sanger para la secuenciació n de  DNA requiere de l uso de:    1=> Dideoxinucleótidos.  2=> Ribonucleótidos.  3=> Desoxinucleótidos.  4=> Nucleósido s.   
2019,96,3,96. ¿Qué es u n plásmido?:    1=> Es un virus que infecta bacterias.  2=> Es una molécula de DNA de tamaño muy  reducido que contiene un solo gen.  3=> Es una molécula de DNA extracromosómico  circular.  4=> Es una enzima que actúa en los mecanismos  de reparación del DNA.                           
2019,97,2," 97. ¿Cuál de estas frases referidas a la teoría qui- miosmótica, que relaciona el transporte electró- nico mitocondrial y la fosforilación oxidativa, es  correcta?:    1=> La ATP sintasa no se halla afectada por el  gradiente de protones.  2=> La energía liberada por el transporte electró- nico se conserva como un gradiente de pH  transmembrana.  3=> La fosforilación oxidativa puede tener lugar  en un sistema libre de membranas.  4=> Independientemente del punto de entrada de  los electrones en la cadena de transporte, el  número de moléculas de ATP sintetizadas es  constante.   "
2019,98,4,98. ¿Cuál de los siguientes NO es un vector capaz  de introducir material genético en el interior de  células ho spedadoras susceptibles?:    1=> Cósmido.  2=> Virus.  3=> Fago.  4=> Operón.   
2019,99,4,"99. La fructosa 2,6-bisfosfato:    1=> Promueve la actividad de la fructosa 1,6- bisfosfatasa promoviendo la glucólisis.  2=> Inhibe la actividad de la fosfofructoquinasa-1  inhibiendo la glucólisis.  3=> Tiene un papel principal en la regulación de  la glucólisis, pero no de la gluconeogénesis.  4=> Tiene un papel principal en la regulación tan- to de la glucólisis como de la gluconeogéne- sis.   "
2019,100,1,100. ¿Qué enzima es inhibida por malonil-CoA para  evitar que se oxiden ácidos grasos de forma  simultánea a su biosíntesi s?:    1=> La carnitina aciltransferasa I.  2=> La acil-CoA deshidrogenasa.  3=> La enoil-CoA hidratasa.   4=> La tiolasa.   
2019,101,3,"101=> La gluconeogénesis es u na ruta metabólica que:    1=> Conduce a la síntesis mitocondrial de glucosa  a partir de acetil-CoA en mamíferos.  2=> Utiliza exactamente las mismas enzimas que  la glucólisis actuando en sentido contrario.  3=> Consume una cantidad de energía metabólica  considerablemente mayor que la generada por  la glucólisis.  4=> Es de naturaleza catabólica, aunque genera  menor cantidad de ATP que del ciclo de ácido  cítrico.           "
2019,102,2, 102=> ¿Qué tipo de inhibidor enzimático AUMENTA  la Km y NO varía la Vmax?:    1=> Inhibidor reversible no co mpetitivo.  2=> Inhibidor reversible competitivo.  3=> Inhibidor reversible acompetitivo.  4=> Inhibidor irreversible.    
2019,103,2,103=> La anhidrasa ca rbónica:    1=> Es una enzima extracelular.   2=> Cataliza la conversión de ácido carbónico en  CO2 y agua.  3=> Tiene un número de recambio muy bajo.  4=> Cataliza la reacción de conversión de H2CO3  en HCO 3- y H+.   
2019,104,4,"104=> Respecto  de las RNA polimerasas de eucariotas,  ¿Cuál de estas afirmaciones es INCORREC- TA?:    1=> La RNApol I transcribe los precursores de la  mayoría de rRNA.  2=> La RNApol II transcribe los precursores de  los mRNA.  3=> La RNApol III transcribe los precursores de  los tRNA.  4=> La RNApol IV transcribe los precursores de  los snRNA y el rRNA 5S.   "
2019,105,2,105. Las enzimas denominadas proteasas:    1=> Hidrolizan enlaces glicosídicos en las proteí- nas.  2=> Catalizan la rotura hidrolítica de enlaces  peptídicos en las pro teínas.  3=> Catalizan la rotura hidrolítica de los puentes  disulfuro en las proteínas.  4=> Hidrolizan enlaces fosfoéster en las proteínas.   
2019,178,1, 178. Las hélices alfa de las proteínas se deben a:    1=> La formación de puentes de hidrógeno intra- moleculares entre resid uos próximos entre sí.  2=> Una organización al azar.  3=> La formación de puentes de hidrógeno inter- moleculares entre resid uos próximos entre sí.  4=> A la ausencia de puentes de hidrógeno inter-  o intramoleculares.   
2019,179,2,179. Las enzimas alteran:    1=> Las velocidades de reacción y los equilibrios.  2=> Las velocidades de reacción pero no los equi- librios.  3=> Únicamente los equilibrios de la reacción.  4=> La afinidad por los sustratos.   
2019,180,2,180. ¿Cuál de las siguientes biomoléculas contiene  cobre en el centro activo?:    1=> Alcohol deshidrogenasa.  2=> Ascorbato oxidasa  3=> Anhidrasa carbónica.  4=> Vitamina B12=>   
2019,181,1,181=> ¿Cuál de los siguientes iones metálicos pueden  hallarse en los centros activos de las enzimas  superóxido dismutasas?:    1=> Mn3+.  2=> Mg2+.  3=> Cr3+.  4=> Co3+.   
